"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"WATERTOWN",2010-11-01,0,0,11,1,6,0
"WATERTOWN",2010-12-01,0,0,12,1,20,0
"WATERTOWN",2011-01-01,0,0,1,1,7,0
"WATERTOWN",2011-02-01,0,0,2,1,16,0
"WATERTOWN",2011-03-01,0,0,3,1,8,0
"WATERTOWN",2011-04-01,0,0,4,2,13,0
"WATERTOWN",2011-05-01,0,0,5,2,15,0
"WATERTOWN",2011-06-01,0,0,6,3,11,0
"WATERTOWN",2011-07-01,0,0,7,3,18,0
"WATERTOWN",2011-08-01,0,0,8,3,7,0
"WATERTOWN",2011-09-01,0,0,9,4,17,0
"WATERTOWN",2011-10-01,0,0,10,4,13,0
"WATERTOWN",2011-11-01,0,0,11,1,12,0
"WATERTOWN",2011-12-01,0,0,12,1,12,0
"WATERTOWN",2012-01-01,0,0,1,1,16,0
"WATERTOWN",2012-02-01,0,0,2,1,11,0
"WATERTOWN",2012-03-01,0,0,3,1,11,0
"WATERTOWN",2012-04-01,0,0,4,2,14,0
"WATERTOWN",2012-05-01,0,0,5,2,17,0
"WATERTOWN",2012-06-01,0,0,6,3,19,0
"WATERTOWN",2012-07-01,0,0,7,3,14,0
"WATERTOWN",2012-08-01,0,0,8,3,8,0
"WATERTOWN",2012-09-01,0,0,9,4,21,0
"WATERTOWN",2012-10-01,0,0,10,4,18,0
"WATERTOWN",2012-11-01,0,0,11,1,17,0
"WATERTOWN",2012-12-01,0,0,12,1,17,0
"WATERTOWN",2013-01-01,0,0,1,1,7,0
"WATERTOWN",2013-02-01,0,0,2,1,14,0
"WATERTOWN",2013-03-01,0,0,3,1,9,0
"WATERTOWN",2013-04-01,0,0,4,2,22,0
"WATERTOWN",2013-05-01,0,0,5,2,22,0
"WATERTOWN",2013-06-01,0,0,6,3,9,0
"WATERTOWN",2013-07-01,0,0,7,3,15,0
"WATERTOWN",2013-08-01,0,0,8,3,11,0
"WATERTOWN",2013-09-01,0,0,9,4,14,0
"WATERTOWN",2013-10-01,0,0,10,4,6,0
"WATERTOWN",2013-11-01,0,0,11,1,13,0
"WATERTOWN",2013-12-01,0,0,12,1,11,0
"WATERTOWN",2014-01-01,0,0,1,1,13,0
"WATERTOWN",2014-02-01,0,0,2,1,8,0
"WATERTOWN",2014-03-01,0,0,3,1,4,0
"WATERTOWN",2014-04-01,0,0,4,2,11,0
"WATERTOWN",2014-05-01,0,0,5,2,17,0
"WATERTOWN",2014-06-01,0,0,6,3,9,0
"WATERTOWN",2014-07-01,0,0,7,3,9,0
"WATERTOWN",2014-08-01,0,0,8,3,7,0
"WATERTOWN",2014-09-01,0,0,9,4,20,0
"WATERTOWN",2014-10-01,0,0,10,4,19,0
"WATERTOWN",2014-11-01,0,0,11,1,13,0
"WATERTOWN",2014-12-01,0,0,12,1,17,0
