"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"BROOKLINE",2012-10-01,6.54391184556479,2,10,4,17,1
"BROOKLINE",2012-11-01,5.93357056868908,3,11,1,15,1
"BROOKLINE",2012-12-01,0,4,12,1,16,1
"BROOKLINE",2013-01-01,0,5,1,1,9,1
"BROOKLINE",2013-02-01,0,6,2,1,8,1
"BROOKLINE",2013-03-01,0,7,3,1,15,1
"BROOKLINE",2013-04-01,6.66440902035041,8,4,2,10,1
"BROOKLINE",2013-05-01,7.23345541862144,9,5,2,2,1
"BROOKLINE",2013-06-01,7.42773884053289,10,6,3,1,1
"BROOKLINE",2013-07-01,7.59287028784482,11,7,3,9,1
"BROOKLINE",2013-08-01,7.65657365691254,12,8,3,21,1
"BROOKLINE",2013-09-01,7.54194831669841,13,9,4,14,1
"BROOKLINE",2013-10-01,7.53182029835464,14,10,4,1,1
"BROOKLINE",2013-11-01,6.90475076996184,15,11,1,2,1
"BROOKLINE",2013-12-01,0,16,12,1,3,1
"BROOKLINE",2014-01-01,0,17,1,1,19,1
"BROOKLINE",2014-02-01,0,18,2,1,15,1
"BROOKLINE",2014-03-01,0,19,3,1,22,1
"BROOKLINE",2014-04-01,6.39692965521615,20,4,2,21,1
"BROOKLINE",2014-05-01,7.61208964893265,21,5,2,15,1
"BROOKLINE",2014-06-01,7.77401507725073,22,6,3,12,1
"BROOKLINE",2014-07-01,7.83062432621642,23,7,3,16,1
"BROOKLINE",2014-08-01,7.77946696745832,24,8,3,22,1
"BROOKLINE",2014-09-01,7.66364248936327,25,9,4,15,1
"BROOKLINE",2014-10-01,7.41034709782102,26,10,4,10,1
"BROOKLINE",2014-11-01,6.76272950693188,27,11,1,15,1
"BROOKLINE",2014-12-01,1.25276296849537,28,12,1,18,1
"CAMBRIDGE",2010-01-01,0,-30,1,1,22,1
"CAMBRIDGE",2010-02-01,0,-29,2,1,26,1
"CAMBRIDGE",2010-03-01,0,-28,3,1,37,1
"CAMBRIDGE",2010-04-01,0,-27,4,2,48,1
"CAMBRIDGE",2010-05-01,0,-26,5,2,52,1
"CAMBRIDGE",2010-06-01,0,-25,6,3,36,1
"CAMBRIDGE",2010-07-01,0,-24,7,3,55,1
"CAMBRIDGE",2010-08-01,0,-23,8,3,48,1
"CAMBRIDGE",2010-09-01,0,-22,9,4,47,1
"CAMBRIDGE",2010-10-01,0,-21,10,4,61,1
"CAMBRIDGE",2010-11-01,0,-20,11,1,38,1
"CAMBRIDGE",2010-12-01,0,-19,12,1,39,1
"CAMBRIDGE",2011-01-01,0,-18,1,1,31,1
"CAMBRIDGE",2011-02-01,0,-17,2,1,26,1
"CAMBRIDGE",2011-03-01,0,-16,3,1,32,1
"CAMBRIDGE",2011-04-01,0,-15,4,2,28,1
"CAMBRIDGE",2011-05-01,0,-14,5,2,48,1
"CAMBRIDGE",2011-06-01,0,-13,6,3,50,1
"CAMBRIDGE",2011-07-01,0,-12,7,3,44,1
"CAMBRIDGE",2011-08-01,0,-11,8,3,45,1
"CAMBRIDGE",2011-09-01,0,-10,9,4,32,1
"CAMBRIDGE",2011-10-01,0,-9,10,4,44,1
"CAMBRIDGE",2011-11-01,0,-8,11,1,40,1
"CAMBRIDGE",2011-12-01,0,-7,12,1,41,1
"CAMBRIDGE",2012-01-01,0,-6,1,1,52,1
"CAMBRIDGE",2012-02-01,0,-5,2,1,31,1
"CAMBRIDGE",2012-03-01,0,-4,3,1,28,1
"CAMBRIDGE",2012-04-01,0,-3,4,2,36,1
"CAMBRIDGE",2012-05-01,0,-2,5,2,52,1
"CAMBRIDGE",2012-06-01,0,-1,6,3,36,1
"CAMBRIDGE",2012-07-01,4.91998092582813,0,7,3,34,1
"CAMBRIDGE",2012-08-01,9.08085791419795,1,8,3,59,1
"CAMBRIDGE",2012-09-01,9.56082117175159,2,9,4,43,1
"CAMBRIDGE",2012-10-01,9.65114044837184,3,10,4,58,1
"CAMBRIDGE",2012-11-01,9.27664296123025,4,11,1,31,1
"CAMBRIDGE",2012-12-01,0,5,12,1,36,1
"CAMBRIDGE",2013-01-01,0,6,1,1,29,1
"CAMBRIDGE",2013-02-01,0,7,2,1,31,1
"CAMBRIDGE",2013-03-01,0,8,3,1,42,1
"CAMBRIDGE",2013-04-01,9.60817645291986,9,4,2,35,1
"CAMBRIDGE",2013-05-01,10.0182437898343,10,5,2,61,1
"CAMBRIDGE",2013-06-01,10.161708630463,11,6,3,34,1
"CAMBRIDGE",2013-07-01,10.4212540327314,12,7,3,39,1
"CAMBRIDGE",2013-08-01,10.580060638475,13,8,3,31,1
"CAMBRIDGE",2013-09-01,10.6471971354471,14,9,4,40,1
"CAMBRIDGE",2013-10-01,10.6645503578944,15,10,4,47,1
"CAMBRIDGE",2013-11-01,10.1113550162978,16,11,1,41,1
"CAMBRIDGE",2013-12-01,9.00011304592852,17,12,1,28,1
"CAMBRIDGE",2014-01-01,8.79125796790883,18,1,1,12,1
"CAMBRIDGE",2014-02-01,8.8490117593561,19,2,1,28,1
"CAMBRIDGE",2014-03-01,9.32892308780313,20,3,1,31,1
"CAMBRIDGE",2014-04-01,10.2715449696393,21,4,2,27,1
"CAMBRIDGE",2014-05-01,10.590855565832,22,5,2,33,1
"CAMBRIDGE",2014-06-01,10.655622722242,23,6,3,44,1
"CAMBRIDGE",2014-07-01,10.7921295568142,24,7,3,22,1
"CAMBRIDGE",2014-08-01,10.8023777697301,25,8,3,38,1
"CAMBRIDGE",2014-09-01,10.8579214941883,26,9,4,37,1
"CAMBRIDGE",2014-10-01,10.6997214155535,27,10,4,42,1
"CAMBRIDGE",2014-11-01,10.1792994524174,28,11,1,51,1
"CAMBRIDGE",2014-12-01,9.60400276796519,29,12,1,41,1
"CHELSEA",2010-01-01,0,0,1,1,19,0
"CHELSEA",2010-02-01,0,0,2,1,14,0
"CHELSEA",2010-03-01,0,0,3,1,23,0
"CHELSEA",2010-04-01,0,0,4,2,20,0
"CHELSEA",2010-05-01,0,0,5,2,23,0
"CHELSEA",2010-06-01,0,0,6,3,27,0
